Loss_Adversary	Loss_Target	
-0.1892	0.0019	0.4126	
-0.2077	0.0031	0.4542	
-0.2154	0.0045	0.4725	
-0.2192	0.0068	0.4834	
-0.2209	0.0083	0.4888	
-0.2226	0.0083	0.4926	
-0.2229	0.0089	0.4940	
-0.2252	0.0057	0.4952	
-0.2248	0.0065	0.4953	
-0.2254	0.0048	0.4946	
-0.2250	0.0063	0.4955	
-0.2255	0.0047	0.4946	
-0.2248	0.0060	0.4946	
-0.2258	0.0042	0.4947	
-0.2262	0.0047	0.4961	
-0.2267	0.0026	0.4948	
-0.2262	0.0042	0.4956	
-0.2255	0.0050	0.4950	
-0.2260	0.0046	0.4956	
-0.2259	0.0040	0.4947	
-0.2272	0.0019	0.4951	
-0.2261	0.0039	0.4951	
-0.2260	0.0046	0.4957	
-0.2271	0.0030	0.4961	
-0.2259	0.0043	0.4951	
-0.2266	0.0033	0.4954	
-0.2261	0.0043	0.4955	
-0.2266	0.0034	0.4954	
-0.2264	0.0031	0.4946	
-0.2273	0.0023	0.4958	
-0.2256	0.0057	0.4959	
-0.2279	0.0022	0.4969	
-0.2277	0.0014	0.4956	
-0.2270	0.0029	0.4958	
-0.2270	0.0031	0.4960	
-0.2276	0.0019	0.4958	
-0.2268	0.0034	0.4960	
-0.2269	0.0044	0.4972	
-0.2276	0.0025	0.4966	
-0.2266	0.0035	0.4956	
-0.2269	0.0041	0.4969	
-0.2276	0.0016	0.4957	
-0.2276	0.0026	0.4968	
-0.2266	0.0039	0.4960	
-0.2275	0.0024	0.4963	
-0.2273	0.0024	0.4960	
-0.2276	0.0028	0.4970	
-0.2275	0.0021	0.4961	
-0.2268	0.0041	0.4968	
-0.2277	0.0022	0.4964	
-0.2271	0.0029	0.4961	
-0.2277	0.0019	0.4962	
-0.2274	0.0026	0.4963	
-0.2271	0.0035	0.4967	
-0.2278	0.0015	0.4959	
-0.2254	0.0070	0.4972	
-0.2275	0.0024	0.4964	
-0.2272	0.0035	0.4971	
-0.2270	0.0037	0.4967	
-0.2272	0.0036	0.4971	
-0.2273	0.0033	0.4970	
-0.2277	0.0023	0.4967	
-0.2276	0.0026	0.4968	
-0.2268	0.0038	0.4963	
-0.2281	0.0019	0.4971	
-0.2280	0.0018	0.4968	
-0.2276	0.0035	0.4977	
-0.2280	0.0024	0.4974	
-0.2279	0.0022	0.4969	
-0.2281	0.0018	0.4968	
-0.2268	0.0037	0.4963	
-0.2275	0.0023	0.4961	
-0.2270	0.0035	0.4966	
-0.2278	0.0021	0.4966	
-0.2273	0.0028	0.4964	
-0.2279	0.0020	0.4967	
-0.2273	0.0030	0.4966	
-0.2272	0.0035	0.4971	
-0.2282	0.0017	0.4970	
-0.2282	0.0018	0.4970	
-0.2273	0.0035	0.4972	
-0.2274	0.0028	0.4966	
-0.2268	0.0044	0.4972	
-0.2273	0.0034	0.4970	
-0.2280	0.0016	0.4964	
-0.2271	0.0037	0.4969	
-0.2271	0.0033	0.4966	
-0.2276	0.0024	0.4965	
-0.2275	0.0024	0.4962	
-0.2280	0.0018	0.4966	
-0.2270	0.0034	0.4963	
-0.2276	0.0024	0.4965	
-0.2276	0.0028	0.4970	
-0.2278	0.0019	0.4965	
-0.2271	0.0033	0.4965	
-0.2277	0.0021	0.4965	
-0.2279	0.0019	0.4966	
-0.2268	0.0039	0.4965	
-0.2274	0.0024	0.4961	
-0.2272	0.0025	0.4958	
-0.2282	0.0016	0.4969	
-0.2281	0.0010	0.4960	
-0.2277	0.0024	0.4967	
-0.2273	0.0033	0.4970	
-0.2277	0.0024	0.4967	
-0.2271	0.0028	0.4959	
-0.2273	0.0029	0.4964	
-0.2277	0.0020	0.4963	
-0.2282	0.0022	0.4975	
-0.2280	0.0022	0.4970	
-0.2276	0.0028	0.4970	
-0.2272	0.0032	0.4965	
-0.2280	0.0021	0.4971	
-0.2281	0.0015	0.4966	
-0.2272	0.0031	0.4964	
-0.2267	0.0044	0.4969	
-0.2253	0.0063	0.4960	
-0.2282	0.0022	0.4975	
-0.2281	0.0019	0.4970	
-0.2260	0.0061	0.4973	
-0.2273	0.0030	0.4964	
-0.2270	0.0033	0.4963	
-0.2278	0.0018	0.4963	
-0.2271	0.0030	0.4962	
-0.2268	0.0037	0.4963	
-0.2278	0.0020	0.4964	
-0.2270	0.0031	0.4960	
-0.2277	0.0020	0.4962	
-0.2276	0.0027	0.4970	
-0.2282	0.0016	0.4969	
-0.2275	0.0029	0.4968	
-0.2271	0.0036	0.4969	
-0.2275	0.0023	0.4961	
-0.2257	0.0062	0.4968	
-0.2284	0.0016	0.4973	
-0.2285	0.0013	0.4972	
-0.2285	0.0011	0.4968	
-0.2276	0.0029	0.4972	
-0.2276	0.0036	0.4979	
-0.2282	0.0019	0.4973	
-0.2274	0.0030	0.4967	
-0.2280	0.0021	0.4970	
-0.2281	0.0014	0.4965	
-0.2276	0.0022	0.4963	
-0.2280	0.0022	0.4972	
-0.2275	0.0025	0.4964	
-0.2283	0.0012	0.4966	
-0.2279	0.0023	0.4971	
-0.2281	0.0011	0.4961	
-0.2272	0.0035	0.4970	
-0.2269	0.0039	0.4968	
-0.2275	0.0028	0.4968	
-0.2287	0.0010	0.4972	
-0.2281	0.0017	0.4968	
-0.2287	0.0007	0.4968	
-0.2268	0.0041	0.4967	
-0.2275	0.0029	0.4969	
-0.2275	0.0031	0.4972	
-0.2273	0.0023	0.4958	
-0.2281	0.0017	0.4968	
-0.2275	0.0027	0.4967	
-0.2280	0.0020	0.4968	
-0.2272	0.0033	0.4966	
-0.2284	0.0015	0.4973	
-0.2281	0.0018	0.4969	
-0.2276	0.0031	0.4974	
-0.2275	0.0022	0.4962	
-0.2281	0.0013	0.4963	
-0.2282	0.0017	0.4969	
-0.2275	0.0025	0.4964	
-0.2284	0.0016	0.4972	
-0.2282	0.0019	0.4971	
-0.2277	0.0023	0.4967	
-0.2274	0.0026	0.4965	
-0.2280	0.0019	0.4968	
-0.2272	0.0034	0.4969	
-0.2277	0.0025	0.4967	
-0.2282	0.0028	0.4982	
-0.2282	0.0020	0.4973	
-0.2280	0.0024	0.4974	
-0.2281	0.0023	0.4975	
-0.2271	0.0044	0.4978	
-0.2286	0.0009	0.4970	
-0.2280	0.0020	0.4970	
-0.2280	0.0020	0.4969	
-0.2274	0.0027	0.4964	
-0.2280	0.0027	0.4978	
-0.2275	0.0026	0.4967	
-0.2273	0.0044	0.4981	
-0.2269	0.0047	0.4976	
-0.2275	0.0025	0.4965	
-0.2283	0.0015	0.4969	
-0.2281	0.0018	0.4968	
-0.2283	0.0017	0.4972	
-0.2278	0.0029	0.4974	
-0.2277	0.0028	0.4972	
-0.2267	0.0045	0.4970	
-0.2280	0.0024	0.4974	
-0.2274	0.0036	0.4975	
-0.2282	0.0017	0.4970	
-0.2280	0.0018	0.4967	
-0.2278	0.0019	0.4963	
-0.2275	0.0023	0.4962	
-0.2270	0.0038	0.4969	
-0.2280	0.0019	0.4967	
-0.2285	0.0013	0.4972	
-0.2283	0.0024	0.4980	
-0.2272	0.0036	0.4970	
-0.2280	0.0020	0.4969	
-0.2276	0.0026	0.4968	
-0.2282	0.0021	0.4974	
-0.2278	0.0023	0.4967	
-0.2277	0.0026	0.4969	
-0.2281	0.0016	0.4967	
-0.2274	0.0036	0.4974	
-0.2276	0.0020	0.4961	
-0.2274	0.0027	0.4964	
-0.2274	0.0032	0.4971	
-0.2276	0.0028	0.4969	
-0.2285	0.0013	0.4973	
-0.2279	0.0023	0.4971	
-0.2273	0.0027	0.4963	
-0.2271	0.0037	0.4970	
-0.2280	0.0024	0.4975	
-0.2272	0.0037	0.4972	
-0.2275	0.0032	0.4972	
-0.2285	0.0014	0.4973	
-0.2274	0.0038	0.4976	
-0.2276	0.0027	0.4967	
-0.2281	0.0022	0.4974	
-0.2283	0.0013	0.4967	
-0.2282	0.0018	0.4971	
-0.2285	0.0010	0.4968	
-0.2267	0.0046	0.4971	
-0.2280	0.0032	0.4982	
-0.2276	0.0025	0.4965	
-0.2284	0.0022	0.4981	
-0.2283	0.0014	0.4968	
-0.2280	0.0026	0.4975	
-0.2266	0.0043	0.4965	
-0.2277	0.0029	0.4974	
-0.2280	0.0018	0.4967	
-0.2282	0.0016	0.4969	
-0.2286	0.0014	0.4976	
-0.2286	0.0015	0.4976	
-0.2290	0.0009	0.4977	
-0.2281	0.0021	0.4972	
-0.2272	0.0038	0.4974	
-0.2275	0.0034	0.4975	
-0.2283	0.0019	0.4975	
-0.2279	0.0024	0.4971	
-0.2274	0.0030	0.4968	
-0.2270	0.0040	0.4970	
-0.2279	0.0022	0.4970	
-0.2276	0.0026	0.4967	
-0.2281	0.0019	0.4970	
-0.2280	0.0030	0.4982	
-0.2283	0.0019	0.4976	
-0.2278	0.0026	0.4971	
-0.2279	0.0018	0.4964	
-0.2285	0.0012	0.4972	
-0.2273	0.0037	0.4974	
-0.2283	0.0021	0.4978	
-0.2287	0.0016	0.4980	
-0.2278	0.0027	0.4973	
-0.2285	0.0018	0.4979	
-0.2282	0.0017	0.4969	
-0.2267	0.0043	0.4967	
-0.2280	0.0021	0.4970	
-0.2278	0.0025	0.4970	
-0.2280	0.0013	0.4962	
-0.2278	0.0021	0.4965	
-0.2271	0.0038	0.4970	
-0.2275	0.0034	0.4975	
-0.2284	0.0018	0.4976	
-0.2277	0.0028	0.4972	
-0.2270	0.0042	0.4973	
-0.2272	0.0027	0.4960	
-0.2279	0.0022	0.4968	
-0.2279	0.0022	0.4969	
-0.2270	0.0034	0.4964	
-0.2279	0.0024	0.4972	
-0.2276	0.0028	0.4970	
-0.2266	0.0040	0.4962	
-0.2282	0.0019	0.4974	
-0.2272	0.0037	0.4972	
-0.2271	0.0031	0.4963	
-0.2275	0.0026	0.4965	
-0.2280	0.0030	0.4982	
-0.2278	0.0030	0.4976	
-0.2272	0.0038	0.4973	
-0.2273	0.0028	0.4964	
-0.2281	0.0021	0.4972	
-0.2278	0.0026	0.4973	
-0.2269	0.0035	0.4963	
-0.2277	0.0030	0.4974	
-0.2280	0.0019	0.4969	
-0.2283	0.0020	0.4977	
-0.2270	0.0039	0.4970	
-0.2282	0.0017	0.4969	
-0.2289	0.0008	0.4974	
-0.2276	0.0024	0.4965	
-0.2284	0.0020	0.4978	
-0.2284	0.0020	0.4978	
-0.2274	0.0040	0.4978	
-0.2272	0.0036	0.4971	
-0.2267	0.0045	0.4971	
-0.2278	0.0025	0.4970	
-0.2276	0.0026	0.4967	
-0.2277	0.0024	0.4968	
-0.2283	0.0020	0.4975	
-0.2273	0.0032	0.4968	
-0.2279	0.0025	0.4973	
-0.2274	0.0032	0.4970	
-0.2273	0.0038	0.4974	
-0.2276	0.0026	0.4967	
-0.2274	0.0031	0.4969	
-0.2284	0.0018	0.4976	
-0.2285	0.0012	0.4971	
-0.2278	0.0027	0.4972	
-0.2276	0.0032	0.4975	
-0.2270	0.0038	0.4967	
-0.2276	0.0031	0.4972	
-0.2273	0.0034	0.4971	
-0.2266	0.0048	0.4972	
-0.2267	0.0044	0.4969	
-0.2272	0.0039	0.4973	
-0.2271	0.0036	0.4969	
-0.2285	0.0018	0.4978	
-0.2285	0.0023	0.4984	
-0.2280	0.0018	0.4968	
-0.2278	0.0023	0.4967	
-0.2285	0.0016	0.4975	
-0.2286	0.0015	0.4976	
-0.2251	0.0075	0.4971	
-0.2268	0.0042	0.4968	
-0.2279	0.0031	0.4980	
-0.2274	0.0033	0.4972	
-0.2289	0.0006	0.4971	
-0.2278	0.0033	0.4979	
-0.2289	0.0018	0.4986	
-0.2270	0.0038	0.4970	
-0.2281	0.0025	0.4977	
-0.2284	0.0014	0.4970	
-0.2280	0.0017	0.4965	
-0.2282	0.0012	0.4966	
-0.2279	0.0021	0.4969	
-0.2281	0.0020	0.4971	
-0.2268	0.0035	0.4960	
-0.2281	0.0022	0.4974	
-0.2269	0.0035	0.4963	
-0.2279	0.0021	0.4969	
-0.2277	0.0033	0.4977	
-0.2281	0.0017	0.4969	
-0.2285	0.0019	0.4979	
-0.2283	0.0018	0.4972	
-0.2279	0.0027	0.4975	
